NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_56000100	ACPF_56000100	0560001_5GNB_WSBO_ACPFP_056000100	gnb_cu_cp	v23_B_0	N/A	0	/560001/560066/	r_0200
ACPF_56005000	ACPF_56005000	0560050_5GNB_WSBO_ACPFP_056005000	gnb_cu_cp	v23_B_0	N/A	0	/560050/560051/560052/560055/	r_0200
ACPF_56005200	ACPF_56005200	0560052_5GNB_WSBO_ACPFP_056005200	gnb_cu_cp	v23_B_0	N/A	0	N/A	r_0200
ACPF_56005600	ACPF_56005600	0560056_5GNB_WSBO_ACPFP_056005600	gnb_cu_cp	v23_B_0	N/A	0	/560056/560069/560073/560077/560078/	r_0200
ACPF_56006200	ACPF_56006200	0560062_5GNB_WSBO_ACPFP_056006200	gnb_cu_cp	v23_B_0	N/A	0	/560062/	r_0200
ACPF_56006500	ACPF_56006500	0560065_5GNB_WSBO_ACPFP_056006500	gnb_cu_cp	v23_B_0	N/A	0	/560057/560060/560065/	r_0200
ACPF_56006800	ACPF_56006800	0560068_5GNB_WSBO_ACPFP_056006800	gnb_cu_cp	v23_B_0	N/A	0	/560068/	r_0200
ACPF_56007000	ACPF_56007000	0560070_5GNB_WSBO_ACPFP_056007000	gnb_cu_cp	v23_B_0	N/A	0	/560070/570138/570139/570140/570141/570142/570143/570144/	r_0200
ACPF_56007400	ACPF_56007400	0560074_5GNB_WSBO_ACPFP_056007400	gnb_cu_cp	v23_B_0	N/A	0	/560074/	r_0200
ACPF_56007500	ACPF_56007500	0560075_5GNB_WSBO_ACPFP_056007500	gnb_cu_cp	v23_B_0	N/A	0	/560058/560059/560075/	r_0200
ACPF_56007900	ACPF_56007900	0560079_5GNB_WSBO_ACPFP_056007900	gnb_cu_cp	v23_B_0	N/A	0	/560061/560079/	r_0200
ACPF_56012900	ACPF_56012900	0560129_5GNB_WSBO_ACPFP_056012900	gnb_cu_cp	v23_B_0	N/A	0	/560120/560121/560122/560129/570160/580449/610349/620249/	r_0200
ACPF_56900100	ACPF_56900100	0569001_5GNB_WSBO_ACPFP_056900100	gnb_cu_cp	v24_A_0	N/A	0	/569001/569002/	r_0120
ACPF_56900101	ACPF_56900101	0569001_5GNB_WNDS_ACPFS_056900101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_56905000	ACPF_56905000	0569050_5GNB_WSBO_ACPFP_056905000	gnb_cu_cp	v24_A_0	N/A	0	/569050/579100/589150/599200/619300/629350/	r_0120
ACPF_56905001	ACPF_56905001	0569050_5GNB_WNDS_ACPFS_056905001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_57013100	ACPF_57013100	0570131_5GNB_WSBO_ACPFP_057013100	gnb_cu_cp	v23_B_0	N/A	0	/570131/570132/570133/570134/570135/570136/570137/	r_0200
ACPF_57905100	ACPF_57905100	0579051_5GNB_WSBO_ACPFP_057905100	gnb_cu_cp	v24_A_0	N/A	0	/579051/579052/579053/	r_0120
ACPF_57905101	ACPF_57905101	0579051_5GNB_WNDS_ACPFS_057905101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
