NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_180900100	ACPF_180900100	1809001_5GNB_ARTN_ACPFP_180900100	gnb_cu_cp	v24_A_0	N/A	0	/1809001/1809100/1809101/1809102/	r_0120
ACPF_180900101	ACPF_180900101	1809001_5GNB_TULY_ACPFS_180900101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_181010000	ACPF_181010000	1810100_5GNB_ARTN_ACPFP_181010000	gnb_cu_cp	v23_B_0	N/A	0	/1810100/1810110/	r_0200
ACPF_181010100	ACPF_181010100	1810101_5GNB_ARTN_ACPFP_181010100	gnb_cu_cp	v23_B_0	N/A	0	/1810101/1810111/	r_0200
ACPF_181010200	ACPF_181010200	1810102_5GNB_ARTN_ACPFP_181010200	gnb_cu_cp	v23_B_0	N/A	0	/1810102/1810112/	r_0200
ACPF_181010300	ACPF_181010300	1810103_5GNB_ARTN_ACPFP_181010300	gnb_cu_cp	v23_B_0	N/A	0	/1810103/1810113/	r_0200
ACPF_181010400	ACPF_181010400	1810104_5GNB_ARTN_ACPFP_181010400	gnb_cu_cp	v23_B_0	N/A	0	/1810104/1810114/	r_0200
ACPF_181010500	ACPF_181010500	1810105_5GNB_ARTN_ACPFP_181010500	gnb_cu_cp	v23_B_0	N/A	0	/1810105/1810115/	r_0200
ACPF_181010600	ACPF_181010600	1810106_5GNB_ARTN_ACPFP_181010600	gnb_cu_cp	v23_B_0	N/A	0	/1810106/1810116/	r_0200
ACPF_181010700	ACPF_181010700	1810107_5GNB_ARTN_ACPFP_181010700	gnb_cu_cp	v23_B_0	N/A	0	/1810107/1810117/	r_0200
ACPF_181010800	ACPF_181010800	1810108_5GNB_ARTN_ACPFP_181010800	gnb_cu_cp	v24_A_0	N/A	0	/1810108/	r_0100
ACPF_181910000	ACPF_181910000	1819100_5GNB_ARTN_ACPFP_181910000	gnb_cu_cp	v24_A_0	N/A	0	/1819100/1819110/1819120/1859250/1859251/	r_0120
ACPF_181910001	ACPF_181910001	1819100_5GNB_TULY_ACPFS_181910001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_181910100	ACPF_181910100	1819101_5GNB_ARTN_ACPFP_181910100	gnb_cu_cp	v24_A_0	N/A	0	/1819101/1819111/1819121/	r_0120
ACPF_181910101	ACPF_181910101	1819101_5GNB_TULY_ACPFS_181910101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_181910300	ACPF_181910300	1819103_5GNB_ARTN_ACPFP_181910300	gnb_cu_cp	v24_A_0	N/A	0	/1819102/1819103/1819112/	r_0120
ACPF_181910301	ACPF_181910301	1819103_5GNB_TULY_ACPFS_181910301	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_182015000	ACPF_182015000	1820150_5GNB_ARTN_ACPFP_182015000	gnb_cu_cp	v23_B_0	N/A	0	/1820150/	r_0200
ACPF_182015100	ACPF_182015100	1820151_5GNB_ARTN_ACPFP_182015100	gnb_cu_cp	v23_B_0	N/A	0	/1820151/1820154/	r_0200
ACPF_182015200	ACPF_182015200	1820152_5GNB_ARTN_ACPFP_182015200	gnb_cu_cp	v23_B_0	N/A	0	/1820152/1820155/	r_0200
ACPF_182015300	ACPF_182015300	1820153_5GNB_ARTN_ACPFP_182015300	gnb_cu_cp	v23_B_0	N/A	0	/1820153/	r_0200
ACPF_182915200	ACPF_182915200	1829152_5GNB_ARTN_ACPFP_182915200	gnb_cu_cp	v24_A_0	N/A	0	/1829152/1829155/	r_0120
ACPF_182915201	ACPF_182915201	1829152_5GNB_TULY_ACPFS_182915201	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_182915300	ACPF_182915300	1829153_5GNB_ARTN_ACPFP_182915300	gnb_cu_cp	v24_A_0	N/A	0	/1829150/1829151/1829153/1829156/1829160/1829170/	r_0120
ACPF_182915301	ACPF_182915301	1829153_5GNB_TULY_ACPFS_182915301	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_185925700	ACPF_185925700	1859257_5GNB_ARTN_ACPFP_185925700	gnb_cu_cp	v24_A_0	N/A	0	/1859252/1859253/1859254/1859255/1859256/1859257/	r_0120
ACPF_185925701	ACPF_185925701	1859257_5GNB_TULY_ACPFS_185925701	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_186935000	ACPF_186935000	1869350_5GNB_ARTN_ACPFP_186935000	gnb_cu_cp	v24_A_0	N/A	0	/1869300/1869301/1869302/1869303/1869350/	r_0120
ACPF_186935001	ACPF_186935001	1869350_5GNB_TULY_ACPFS_186935001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ADPF_18090012673	ADPF_18090012673	GROW_18090012673_5GDU_DT_GREENWOOD_MS_RCC-ARTN-DT_GREENWOOD_MS_RCC_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090012680	ADPF_18090012680	GROW_18090012680_5GDU_LEXINGTON_MS-ARTN-LEXINGTON_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090012700	ADPF_18090012700	GROW_CLEAN_LTE_18090012700_5GDU_SHELBY_MS-ARTN-SHELBY_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090012859	ADPF_18090012859	GROW_CLEAN_LTE_18090012859_5GDU_THOMPSON_CREEK_MS-ARTN-THOMPSON_CREEK_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090013673	ADPF_18090013673	18090013673_5GDU_DT_GREENWOOD_MS_RCC-ARTN-DT_GREENWOOD_MS_RCC_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090013680	ADPF_18090013680	GROW_18090013680_5GDU_LEXINGTON_MS-ARTN-LEXINGTON_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090013700	ADPF_18090013700	GROW_18090013700_5GDU_SHELBY_MS-ARTN-SHELBY_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090013859	ADPF_18090013859	18090013859_5GDU_THOMPSON_CREEK_MS-ARTN-THOMPSON_CREEK_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18090013971	ADPF_18090013971	GROW_18090013971_5GDU_HWY_82_MS_ALU_ALTA-ARTN-HWY_82_MS_ALU_ALTA_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809001/	r_0100
ADPF_18091002606	ADPF_18091002606	GROW_CLEAN_LTE_18091002606_5GDU_HOLLY_SPRINGS_MS-ARTN-HOLLY_SPRINGS_MS-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002611	ADPF_18091002611	GROW_CLEAN_LTE_18091002611_5GDU_OLE_MISS_MS-ARTN-OLE_MISS_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002633	ADPF_18091002633	GROW_CLEAN_LTE_18091002633_5GDU_ABBEVILLE_MS_RCC-ARTN-ABBEVILLE_MS_RCC-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002703	ADPF_18091002703	GROW_CLEAN_LTE_18091002703_5GDU_BARTON_MS_CELL-ARTN-BARTON_MS_CELL_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002705	ADPF_18091002705	GROW_CLEAN_LTE_18091002705_5GDU_ASHLAND_II_MS-ARTN-ASHLAND_II_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002753	ADPF_18091002753	GROW_CLEAN_LTE_18091002753_5GDU_KOSSUTH_MS_ALU-ARTN-KOSSUTH_MS_ALU-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002761	ADPF_18091002761	GROW_18091002761_5GDU_NEW_ALBANY_MS_ALU-ARTN-NEW_ALBANY_MS_ALU_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002762	ADPF_18091002762	GROW_CLEAN_LTE_18091002762_5GDU_SHANNON_MS_ALU-ARTN-SHANNON_MS_ALU_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002771	ADPF_18091002771	GROW_CLEAN_LTE_18091002771_5GDU_PONTOTOC_MS_ALU-ARTN-PONTOTOC_MS_ALU-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002773	ADPF_18091002773	GROW_CLEAN_LTE_18091002773_5GDU_GUM_TREE_RCC-ARTN-GUM_TREE_RCC_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002774	ADPF_18091002774	GROW_18091002774_5GDU_IUKA_MS_ALU-ARTN-IUKA_MS_ALU_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002775	ADPF_18091002775	GROW_CLEAN_LTE_18091002775_5GDU_LAMAR_MS_CELL-ARTN-LAMAR_MS_CELL_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002787	ADPF_18091002787	GROW_CLEAN_LTE_18091002787_5GDU_BARNES_CROSSING_MS-ARTN-BARNES_CROSSING_MS_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002799	ADPF_18091002799	GROW_CLEAN_LTE_18091002799_5GDU_ASHLAND_MS_ALU-ARTN-ASHLAND_MS_ALU-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002804	ADPF_18091002804	GROW_CLEAN_LTE_18091002804_5GDU_BURNSVILLE_MS_ALU-ARTN-BURNSVILLE_MS_ALU-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002809	ADPF_18091002809	GROW_CLEAN_LTE_18091002809_5GDU_ECRU_MS_ALU-ARTN-ECRU_MS_ALU-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002824	ADPF_18091002824	GROW_CLEAN_LTE_18091002824_5GDU_PONTOTOC_WEST_MS-ARTN-PONTOTOC_WEST_MS-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002832	ADPF_18091002832	GROW_CLEAN_LTE_18091002832_5GDU_TUPELO_WEST_RCC-ARTN-TUPELO_WEST_RCC_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002834	ADPF_18091002834	GROW_CLEAN_LTE_18091002834_5GDU_WALLERVILLE_RCC_MS-ARTN-WALLERVILLE_RCC_MS-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002837	ADPF_18091002837	GROW_CLEAN_LTE_18091002837_5GDU_CROSS_ROADS_MS-ARTN-CROSS_ROADS_MS-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002845	ADPF_18091002845	GROW_CLEAN_LTE_18091002845_5GDU_BLUE_SPRINGS_2_RCC-ARTN-BLUE_SPRINGS_2_RCC_ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
ADPF_18091002863	ADPF_18091002863	GROW_CLEAN_LTE_18091002863_5GDU_BENJAMIN_ROAD_MS-ARTN-BENJAMIN_ROAD_MS-ARTN	gnb_du_cnf	v24_A_0	N/A	0	/1809100/	r_0100
