NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_131010000	ACPF_131010000	1310100_5GNB_ELSS_ACPFP_131010000	gnb_cu_cp	v23_B_0	N/A	0	/1310100/1310108/1310110/1310114/1310115/1310116/1310123/	r_0200
ACPF_131010100	ACPF_131010100	1310101_5GNB_ELSS_ACPFP_131010100	gnb_cu_cp	v23_B_0	N/A	0	/1310101/1310105/1310107/1310117/	r_0200
ACPF_131010200	ACPF_131010200	1310102_5GNB_ELSS_ACPFP_131010200	gnb_cu_cp	v23_B_0	N/A	0	/1310102/1310118/1310120/1310121/1310127/1310128/	r_0200
ACPF_131010300	ACPF_131010300	1310103_5GNB_ELSS_ACPFP_131010300	gnb_cu_cp	v23_B_0	N/A	0	/1310103/1310119/	r_0200
ACPF_131010400	ACPF_131010400	1310104_5GNB_ELSS_ACPFP_131010400	gnb_cu_cp	v23_B_0	N/A	0	/1310104/	r_0200
ACPF_131010600	ACPF_131010600	1310106_5GNB_ELSS_ACPFP_131010600	gnb_cu_cp	v23_B_0	N/A	0	/1310106/	r_0200
ACPF_131010900	ACPF_131010900	1310109_5GNB_ELSS_ACPFP_131010900	gnb_cu_cp	v23_B_0	N/A	0	/1310109/1310124/	r_0200
ACPF_131011200	ACPF_131011200	1310112_5GNB_ELSS_ACPFP_131011200	gnb_cu_cp	v23_B_0	N/A	0	/1310111/1310112/1310113/1310126/	r_0200
ACPF_131014900	ACPF_131014900	1310149_5GNB_ELSS_ACPFP_131014900	gnb_cu_cp	v23_B_0	N/A	0	/1310149/1320199/1330249/1340299/1350349/	r_0200
ACPF_131910000	ACPF_131910000	1319100_5GNB_ELSS_ACPFP_131910000	gnb_cu_cp	v24_A_0	N/A	0	/1319100/1319101/	r_0120
ACPF_131910001	ACPF_131910001	1319100_5GNB_SCHZ_ACPFS_131910001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_131910200	ACPF_131910200	1319102_5GNB_ELSS_ACPFP_131910200	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_131910201	ACPF_131910201	1319102_5GNB_SCHZ_ACPFS_131910201	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_131910300	ACPF_131910300	1319103_5GNB_ELSS_ACPFP_131910300	gnb_cu_cp	v24_A_0	N/A	0	/1319103/1319105/	r_0120
ACPF_131910301	ACPF_131910301	1319103_5GNB_SCHZ_ACPFS_131910301	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_131914900	ACPF_131914900	1319149_5GNB_ELSS_ACPFP_131914900	gnb_cu_cp	v24_A_0	N/A	0	/1319149/1329199/1339249/1349299/1359349/	r_0120
ACPF_131914901	ACPF_131914901	1319149_5GNB_SCHZ_ACPFS_131914901	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_132015000	ACPF_132015000	1320150_5GNB_ELSS_ACPFP_132015000	gnb_cu_cp	v23_B_0	N/A	0	/1320150/1320153/	r_0200
ACPF_132015100	ACPF_132015100	1320151_5GNB_ELSS_ACPFP_132015100	gnb_cu_cp	v23_B_0	N/A	0	/1320151/1320154/	r_0200
ACPF_132015200	ACPF_132015200	1320152_5GNB_ELSS_ACPFP_132015200	gnb_cu_cp	v23_B_0	N/A	0	/1320152/1320155/1320156/	r_0200
ACPF_132915000	ACPF_132915000	1329150_5GNB_ELSS_ACPFP_132915000	gnb_cu_cp	v24_A_0	N/A	0	/1319107/1329150/1329156/	r_0200
ACPF_132915001	ACPF_132915001	1329150_5GNB_SCHZ_ACPFS_132915001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0200
ACPF_132915100	ACPF_132915100	1329151_5GNB_ELSS_ACPFP_132915100	gnb_cu_cp	v24_A_0	N/A	0	/1329151/1359306/	r_0200
ACPF_132915101	ACPF_132915101	1329151_5GNB_SCHZ_ACPFS_132915101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0200
ACPF_132915200	ACPF_132915200	1329152_5GNB_ELSS_ACPFP_132915200	gnb_cu_cp	v24_A_0	N/A	0	/1329152/	r_0120
ACPF_132915201	ACPF_132915201	1329152_5GNB_SCHZ_ACPFS_132915201	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_132915300	ACPF_132915300	1329153_5GNB_ELSS_ACPFP_132915300	gnb_cu_cp	v24_A_0	N/A	0	/1329153/1349254/1349255/1359304/1359305/	r_0120
ACPF_132915301	ACPF_132915301	1329153_5GNB_SCHZ_ACPFS_132915301	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_132915400	ACPF_132915400	1329154_5GNB_ELSS_ACPFP_132915400	gnb_cu_cp	v24_A_0	N/A	0	/1329155/	r_0120
ACPF_132915401	ACPF_132915401	1329154_5GNB_SCHZ_ACPFS_132915401	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_133020000	ACPF_133020000	1330200_5GNB_ELSS_ACPFP_133020000	gnb_cu_cp	v23_B_0	N/A	0	/1330200/1330216/1330222/	r_0200
ACPF_133020100	ACPF_133020100	1330201_5GNB_ELSS_ACPFP_133020100	gnb_cu_cp	v23_B_0	N/A	0	/1330201/1330217/	r_0200
ACPF_133020200	ACPF_133020200	1330202_5GNB_ELSS_ACPFP_133020200	gnb_cu_cp	v23_B_0	N/A	0	/1330202/1330218/	r_0200
ACPF_133020300	ACPF_133020300	1330203_5GNB_ELSS_ACPFP_133020300	gnb_cu_cp	v23_B_0	N/A	0	/1330203/1330219/	r_0200
ACPF_133020400	ACPF_133020400	1330204_5GNB_ELSS_ACPFP_133020400	gnb_cu_cp	v23_B_0	N/A	0	/1330204/1330213/1330220/	r_0200
ACPF_133020500	ACPF_133020500	1330205_5GNB_ELSS_ACPFP_133020500	gnb_cu_cp	v23_B_0	N/A	0	/1330205/1330211/1330221/	r_0200
ACPF_133020600	ACPF_133020600	1330206_5GNB_ELSS_ACPFP_133020600	gnb_cu_cp	v23_B_0	N/A	0	/1330206/	r_0200
ACPF_133020700	ACPF_133020700	1330207_5GNB_ELSS_ACPFP_133020700	gnb_cu_cp	v23_B_0	N/A	0	/1330207/1330223/	r_0200
ACPF_133020800	ACPF_133020800	1330208_5GNB_ELSS_ACPFP_133020800	gnb_cu_cp	v23_B_0	N/A	0	/1310122/1330208/1330224/	r_0200
ACPF_133020900	ACPF_133020900	1330209_5GNB_ELSS_ACPFP_133020900	gnb_cu_cp	v23_B_0	N/A	0	/1330209/1330225/	r_0200
ACPF_133021000	ACPF_133021000	1330210_5GNB_ELSS_ACPFP_133021000	gnb_cu_cp	v23_B_0	N/A	0	/1330210/1330226/	r_0200
ACPF_133021400	ACPF_133021400	1330214_5GNB_ELSS_ACPFP_133021400	gnb_cu_cp	v23_B_0	N/A	0	/1330212/1330214/	r_0200
ACPF_133920000	ACPF_133920000	1339200_5GNB_ELSS_ACPFP_133920000	gnb_cu_cp	v24_A_0	N/A	0	/1319102/1339200/1339204/	r_0120
ACPF_133920001	ACPF_133920001	1339200_5GNB_SCHZ_ACPFS_133920001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_133920100	ACPF_133920100	1339201_5GNB_ELSS_ACPFP_133920100	gnb_cu_cp	v24_A_0	N/A	0	/1339201/1339225/	r_0120
ACPF_133920101	ACPF_133920101	1339201_5GNB_SCHZ_ACPFS_133920101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_133920200	ACPF_133920200	1339202_5GNB_ELSS_ACPFP_133920200	gnb_cu_cp	v24_A_0	N/A	0	/1339202/1339207/1339226/1339228/	r_0120
ACPF_133920201	ACPF_133920201	1339202_5GNB_SCHZ_ACPFS_133920201	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_134025000	ACPF_134025000	1340250_5GNB_ELSS_ACPFP_134025000	gnb_cu_cp	v23_B_0	N/A	0	/1340250/1340251/1340252/1340253/1340254/1340255/	r_0200
ACPF_134925000	ACPF_134925000	1349250_5GNB_ELSS_ACPFP_134925000	gnb_cu_cp	v24_A_0	N/A	0	/1319104/1329154/1349250/1349251/1349252/1349253/	r_0120
ACPF_134925001	ACPF_134925001	1349250_5GNB_SCHZ_ACPFS_134925001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_135930000	ACPF_135930000	1359300_5GNB_ELSS_ACPFP_135930000	gnb_cu_cp	v24_A_0	N/A	0	/1359300/1359301/1359302/1359303/	r_0120
ACPF_135930001	ACPF_135930001	1359300_5GNB_SCHZ_ACPFS_135930001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ADPF_13191002031	ADPF_13191002031	GROW_CLEAN_LTE_13191002031_5GDU_COLONY_WT-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002032	ADPF_13191002032	GROW_CLEAN_LTE_13191002032_5GDU_HEBRON-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002033	ADPF_13191002033	GROW_CLEAN_LTE_13191002033_5GDU_ROSEMEADE_PARK-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002112	ADPF_13191002112	GROW_CLEAN_LTE_13191002112_5GDU_DENTON_LAKEDALLAS-ELSS	gnb_du_cnf	v23_B_0	N/A	0	/1319100/	r_0210
ADPF_13191002116	ADPF_13191002116	GROW_CLEAN_LTE_13191002116_5GDU_121_BELLAIRE-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002201	ADPF_13191002201	GROW_CLEAN_LTE_13191002201_5GDU_LAKE_RAY_ROBERTS_SOUTH-LAKE_RAY_ROBERTS_SOUTH	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002255	ADPF_13191002255	GROW_CLEAN_LTE_13191002255_5GDU_EASTVALE_PARK-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002256	ADPF_13191002256	GROW_CLEAN_LTE_13191002256_5GDU_GRIFFIN_ROAD-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
ADPF_13191002260	ADPF_13191002260	GROW_CLEAN_LTE_13191002260_5GDU_NORTHCREST_VILLAGE-ELSS	gnb_du_cnf	v24_A_0	N/A	0	/1319100/	r_0100
