NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_86025500	ACPF_86025500	0860255_5GNB_WLTP_ACPFP_086025500	gnb_cu_cp	v23_B_0	N/A	0	/860250/860252/860253/860254/860255/860904/	r_0200
ACPF_86925300	ACPF_86925300	0869253_5GNB_WLTP_ACPFP_086925300	gnb_cu_cp	v24_A_0	N/A	0	/869250/869251/869252/869253/869254/869255/869256/	r_0120
ACPF_86925301	ACPF_86925301	0869253_5GNB_BBTP_ACPFS_086925301	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_86925800	ACPF_86925800	0869258_5GNB_WLTP_ACPFP_086925800	gnb_cu_cp	v24_A_0	N/A	0	/869258/	r_0120
ACPF_86925801	ACPF_86925801	0869258_5GNB_BBTP_ACPFS_086925801	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_87030000	ACPF_87030000	0870300_5GNB_WLTP_ACPFP_087030000	gnb_cu_cp	v23_B_0	N/A	0	/870300/870303/870304/870307/870309/	r_0200
ACPF_87030100	ACPF_87030100	0870301_5GNB_WLTP_ACPFP_087030100	gnb_cu_cp	v23_B_0	N/A	0	/870301/870310/870311/870312/870313/870314/870315/870316/	r_0200
ACPF_87030200	ACPF_87030200	0870302_5GNB_WLTP_ACPFP_087030200	gnb_cu_cp	v23_B_0	N/A	0	/870302/870318/870319/870320/870321/870322/870323/870324/	r_0200
ACPF_87032500	ACPF_87032500	0870325_5GNB_WLTP_ACPFP_087032500	gnb_cu_cp	v23_B_0	N/A	0	/870305/870306/870308/870325/	r_0200
ACPF_87090200	ACPF_87090200	0870902_5GNB_WLTP_ACPFP_087090200	gnb_cu_cp	v24_A_0	N/A	0	/870902/870904/	r_0200
ACPF_87090300	ACPF_87090300	0870903_5GNB_WLTP_ACPFP_087090300	gnb_cu_cp	v23_B_0	N/A	0	/870903/870905/	r_0200
ACPF_87090800	ACPF_87090800	0870908_5GNB_WLTP_ACPFP_087090800	gnb_cu_cp	v23_B_0	N/A	0	/870908/870909/	r_0200
ACPF_87930100	ACPF_87930100	0879301_5GNB_WLTP_ACPFP_087930100	gnb_cu_cp	v24_A_0	N/A	0	/879301/879302/879304/879306/879307/	r_0120
ACPF_87930101	ACPF_87930101	0879301_5GNB_BBTP_ACPFS_087930101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_87930500	ACPF_87930500	0879305_5GNB_WLTP_ACPFP_087930500	gnb_cu_cp	v24_A_0	N/A	0	/879303/879305/879308/879309/879310/879311/	r_0120
ACPF_87930501	ACPF_87930501	0879305_5GNB_BBTP_ACPFS_087930501	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_87990100	ACPF_87990100	0879901_5GNB_WLTP_ACPFP_087990100	gnb_cu_cp	v24_A_0	N/A	0	/869902/869903/879901/899903/	r_0120
ACPF_87990101	ACPF_87990101	0879901_5GNB_BBTP_ACPFS_087990101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_88010000	ACPF_88010000	0880100_5GNB_BBTP_ACPFP_088010000	gnb_cu_cp	v23_B_0	N/A	0	/880100/880903/	r_0200
ACPF_88910000	ACPF_88910000	0889100_5GNB_BBTP_ACPFP_088910000	gnb_cu_cp	v24_A_0	N/A	0	/889100/889101/889102/889103/909150/909151/919200/919201/	r_0200
ACPF_88910001	ACPF_88910001	0889100_5GNB_WLTP_ACPFS_088910001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0200
ACPF_88910800	ACPF_88910800	0889108_5GNB_BBTP_ACPFP_088910800	gnb_cu_cp	v24_A_0	N/A	0	/889104/889105/889106/889107/889108/889109/889115/	r_0120
ACPF_88910801	ACPF_88910801	0889108_5GNB_WLTP_ACPFS_088910801	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_89035000	ACPF_89035000	0890350_5GNB_WLTP_ACPFP_089035000	gnb_cu_cp	v23_B_0	N/A	0	/890350/890355/890356/890357/890358/	r_0200
ACPF_89035100	ACPF_89035100	0890351_5GNB_WLTP_ACPFP_089035100	gnb_cu_cp	v23_B_0	N/A	0	/860251/890351/890352/890353/890354/	r_0200
ACPF_89935100	ACPF_89935100	0899351_5GNB_WLTP_ACPFP_089935100	gnb_cu_cp	v24_A_0	N/A	0	/899351/899352/899354/899355/899356/899357/	r_0200
ACPF_89935101	ACPF_89935101	0899351_5GNB_BBTP_ACPFS_089935101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0200
ACPF_89935800	ACPF_89935800	0899358_5GNB_WLTP_ACPFP_089935800	gnb_cu_cp	v24_A_0	N/A	0	/899350/899353/899358/899359/	r_0120
ACPF_89935801	ACPF_89935801	0899358_5GNB_BBTP_ACPFS_089935801	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_90915200	ACPF_90915200	0909152_5GNB_BBTP_ACPFP_090915200	gnb_cu_cp	v24_A_0	N/A	0	/909152/909153/909154/909155/909156/909157/909159/909160/	r_0120
