NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_112050000	ACPF_112050000	1120500_5GNB_CHNT_ACPFP_112050000	gnb_cu_cp	v24_A_0	N/A	0	/1120500/	r_0200
ACPF_112950000	ACPF_112950000	1129500_5GNB_CHNT_ACPFP_112950000	gnb_cu_cp	v24_A_0	N/A	0	/1129500/	r_0200
ADPF_11295002002	ADPF_11295002002	11295002002_5GDU_Rappahannock-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0211
ADPF_11295002091	ADPF_11295002091	11295002091_5GDU_FALMOUTH-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295002174	ADPF_11295002174	11295002174_5GDU_McCarthys_Corner-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295002178	ADPF_11295002178	GROW_11295002178_5GDU_CENTRAL_PARK-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295002191	ADPF_11295002191	11295002191_5GDU_KFC_Hanson-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0211
ADPF_11295002193	ADPF_11295002193	11295002193_5GDU_MARY_WASHINGTON-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295002268	ADPF_11295002268	11295002268_5GDU_POWELL_LANE-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295003002	ADPF_11295003002	11295003002_5GDU_Rappahannock-CHNT	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0211
ADPF_11295003091	ADPF_11295003091	11295003091_5GDU_Falmouth_CHNTVAAV_001	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295003174	ADPF_11295003174	11295003174_5GDU_McCarthys_Corner_CHNTVAAV_001	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295003178	ADPF_11295003178	11295003178_5GDU_Central_Park_CHNTVAAV_001	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295003191	ADPF_11295003191	11295003191_5GDU_KFC_Hanson_CHNTVAAV_001	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0211
ADPF_11295003195	ADPF_11295003195	11295003195_5GDU_Mary_Washington_CHNTVAAV_001	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
ADPF_11295003268	ADPF_11295003268	11295003268_5GDU_Powell_Lane_CHNTVAAV_001	gnb_du_cnf	v24_A_0	N/A	0	/1129500/	r_0100
AUPF_112050010	AUPF_112050010	1120500_5GNB_CHNT_AUPFP_112050010	gnb_cu_up	v24_A_0	N/A	0	/1120500/	r_0200
AUPF_112950010	AUPF_112950010	1129500_5GNB_CHNT_AUPFP_112950010	gnb_cu_up	v24_A_0	N/A	0	/1129500/	r_0200
DU_5000001	DU_5000001	11205000001_5GDU_Powell_Lane-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000002	DU_5000002	11205000002_5GDU_Powell_Lane-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000003	DU_5000003	11205000003_5GDU_Powell_Lane-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000004	DU_5000004	11205000004_5GDU_Powell_Lane-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000005	DU_5000005	11205000005_5GDU_Powell_Lane-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000006	DU_5000006	11205000006_5GDU_Powell_Lane-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000007	DU_5000007	11205000007_5GDU_Rappahannock-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000008	DU_5000008	11205000008_5GDU_Rappahannock-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000009	DU_5000009	11205000009_5GDU_Rappahannock-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000010	DU_5000010	11205000010_5GDU_Rappahannock-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000011	DU_5000011	11205000011_5GDU_Rappahannock-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000012	DU_5000012	11205000012_5GDU_Rappahannock-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000013	DU_5000013	11205000013_5GDU_McCarthys_Corner-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000014	DU_5000014	11205000014_5GDU_McCarthys_Corner-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000015	DU_5000015	11205000015_5GDU_McCarthys_Corner-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000016	DU_5000016	11205000016_5GDU_McCarthys_Corner-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000017	DU_5000017	11205000017_5GDU_McCarthys_Corner-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000018	DU_5000018	11205000018_5GDU_McCarthys_Corner-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000019	DU_5000019	11205000019_5GDU_KFC_Hanson-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000020	DU_5000020	11205000020_5GDU_KFC_Hanson-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000021	DU_5000021	11205000021_5GDU_KFC_Hanson-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000022	DU_5000022	11205000022_5GDU_KFC_Hanson-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000023	DU_5000023	11205000023_5GDU_KFC_Hanson-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000024	DU_5000024	11205000024_5GDU_KFC_Hanson-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000025	DU_5000025	11205000025_5GDU_Central_Park-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000026	DU_5000026	11205000026_5GDU_Central_Park-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000027	DU_5000027	11205000027_5GDU_Central_Park-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000028	DU_5000028	11205000028_5GDU_Central_Park-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000029	DU_5000029	11205000029_5GDU_Central_Park-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000030	DU_5000030	11205000030_5GDU_Central_Park-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000037	DU_5000037	11205000037_5GDU_Mary_Washington-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000038	DU_5000038	11205000038_5GDU_Mary_Washington-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000039	DU_5000039	11205000039_5GDU_Mary_Washington-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000040	DU_5000040	11205000040_5GDU_Mary_Washington-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000041	DU_5000041	11205000041_5GDU_Mary_Washington-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
DU_5000042	DU_5000042	11205000042_5GDU_Mary_Washington-CHNT	gnb_au	v24_A_0	N/A	0	/1120500/	r_0210
FSU_112002001	FSU_112002001	112002_001_Rappahannock_11295002002_5GDU_FSU_Rappahannock	c_fsu	v24_A_0	N/A	0	N/A	r_0110
FSU_112091001	FSU_112091001	112091_001_Falmouth_11295002091_5GDU_FSU_Falmouth_CHNTVAAV_001	c_fsu	v24_A_0	N/A	0	N/A	r_0110
FSU_112174001	FSU_112174001	112174_001_McCarthys_Corner_11295002174_5GDU_FSU_McCarthys_Corner_CHNTVAAV_001	c_fsu	v24_A_0	N/A	0	N/A	r_0110
FSU_112176001	FSU_112176001	112176_001_Central_Park_11295002176_5GDU_FSU_Central_Park_CHNTVAAV_001	c_fsu	v24_A_0	N/A	0	N/A	r_0100
FSU_112191001	FSU_112191001	GROW_112191_001_KFC_Hanson_11295002191_5GDU_FSU_KFC_Hanson_CHNTVAAV_001_KFC_Hanson_CHNTVAAV	c_fsu	v24_A_0	N/A	0	N/A	r_0110
FSU_112193001	FSU_112193001	112193_001_Mary_Washington_11295002193_5GDU_FSU_Mary_Washington_CHNTVAAV_001	c_fsu	v24_A_0	N/A	0	N/A	r_0110
FSU_112268001	FSU_112268001	112268_001_Powell_Lane_11295002268_5GDU_FSU_Powell_Lane	c_fsu	v24_A_0	N/A	0	N/A	r_0110
ENB_112002	ENB_112002	112002_RAPPAHANNOCK	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0200
ENB_112091	ENB_112091	112091_FALMOUTH	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0200
ENB_112174	ENB_112174	112174_MCCARTHYS_CORNER	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0110
ENB_112176	ENB_112176	112176_CENTRAL_PARK	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0200
ENB_112191	ENB_112191	112191_KFC_Hanson	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0200
ENB_112193	ENB_112193	112193_MARY_WASHINGTON	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0200
ENB_112268	ENB_112268	112268_POWELL_LANE	macro_indoor_dist	v24_A_0	N/A	3	N/A	r_0110
