NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_136035000	ACPF_136035000	1360350_5GNB_SCHZ_ACPFP_136035000	gnb_cu_cp	v23_B_0	N/A	0	/1360350/1360359/1360360/1360361/1360363/1360371/	r_0200
ACPF_136035100	ACPF_136035100	1360351_5GNB_SCHZ_ACPFP_136035100	gnb_cu_cp	v23_B_0	N/A	0	/1360351/1360369/1370422/	r_0200
ACPF_136035200	ACPF_136035200	1360352_5GNB_SCHZ_ACPFP_136035200	gnb_cu_cp	v23_B_0	N/A	0	/1360352/1360362/1360367/1360373/1370413/	r_0200
ACPF_136035600	ACPF_136035600	1360356_5GNB_SCHZ_ACPFP_136035600	gnb_cu_cp	v23_B_0	N/A	0	/1360356/1360374/1360376/1360383/1370421/	r_0200
ACPF_136037500	ACPF_136037500	1360375_5GNB_SCHZ_ACPFP_136037500	gnb_cu_cp	v23_B_0	N/A	0	/1360353/1360354/1360358/1360375/	r_0200
ACPF_136038000	ACPF_136038000	1360380_5GNB_SCHZ_ACPFP_136038000	gnb_cu_cp	v23_B_0	N/A	0	/1360357/1360380/	r_0200
ACPF_136039900	ACPF_136039900	1360399_5GNB_SCHZ_ACPFP_136039900	gnb_cu_cp	v24_A_0	N/A	0	/1360399/1370449/1380499/1390549/1400599/	r_0200
ACPF_136935000	ACPF_136935000	1369350_5GNB_SCHZ_ACPFP_136935000	gnb_cu_cp	v24_A_0	N/A	0	/1369350/1369354/1389450/1389451/1389452/	r_0120
ACPF_136935001	ACPF_136935001	1369350_5GNB_ELSS_ACPFS_136935001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_136938000	ACPF_136938000	1369380_5GNB_SCHZ_ACPFP_136938000	gnb_cu_cp	v24_A_0	N/A	0	/1369353/1369380/	r_0120
ACPF_136938001	ACPF_136938001	1369380_5GNB_ELSS_ACPFS_136938001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_136939900	ACPF_136939900	1369399_5GNB_SCHZ_ACPFP_136939900	gnb_cu_cp	v24_A_0	N/A	0	/1369399/1379449/1389499/1399549/1409599/	r_0200
ACPF_136939901	ACPF_136939901	1369399_5GNB_ELSS_ACPFS_136939901	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0200
ACPF_137040000	ACPF_137040000	1370400_5GNB_SCHZ_ACPFP_137040000	gnb_cu_cp	v23_B_0	N/A	0	/1370400/1370404/1370405/1370408/1370411/1370414/1370415/	r_0200
ACPF_137041200	ACPF_137041200	1370412_5GNB_SCHZ_ACPFP_137041200	gnb_cu_cp	v23_B_0	N/A	0	/1360355/1360370/1370402/1370412/1370423/	r_0200
ACPF_137041900	ACPF_137041900	1370419_5GNB_SCHZ_ACPFP_137041900	gnb_cu_cp	v23_B_0	N/A	0	/1360377/1360381/1360389/1370406/1370409/1370416/1370417/1370419/	r_0200
ACPF_137042000	ACPF_137042000	1370420_5GNB_SCHZ_ACPFP_137042000	gnb_cu_cp	v24_A_0	N/A	0	/1360372/1360378/1360379/1370401/1370407/1370410/1370418/1370420/	r_0200
ACPF_137940000	ACPF_137940000	1379400_5GNB_SCHZ_ACPFP_137940000	gnb_cu_cp	v24_A_0	N/A	0	/1379400/1379401/1379405/1389453/1399501/	r_0120
ACPF_137940001	ACPF_137940001	1379400_5GNB_ELSS_ACPFS_137940001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_137940200	ACPF_137940200	1379402_5GNB_SCHZ_ACPFP_137940200	gnb_cu_cp	v24_A_0	N/A	0	/1379402/1379410/1379411/1379412/1379413/1379414/	r_0120
ACPF_137940201	ACPF_137940201	1379402_5GNB_ELSS_ACPFS_137940201	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_137940400	ACPF_137940400	1379404_5GNB_SCHZ_ACPFP_137940400	gnb_cu_cp	v24_A_0	N/A	0	/1369351/1369352/1379404/1379415/1409560/1409561/1409562/	r_0120
ACPF_137940401	ACPF_137940401	1379404_5GNB_ELSS_ACPFS_137940401	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_139950000	ACPF_139950000	1399500_5GNB_SCHZ_ACPFP_139950000	gnb_cu_cp	v24_A_0	N/A	0	/1369364/1379403/1399500/	r_0120
ACPF_139950001	ACPF_139950001	1399500_5GNB_ELSS_ACPFS_139950001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_140955100	ACPF_140955100	1409551_5GNB_SCHZ_ACPFP_140955100	gnb_cu_cp	v24_A_0	N/A	0	/1399502/1399503/1409551/1409552/1409553/	r_0120
ACPF_140955101	ACPF_140955101	1409551_5GNB_ELSS_ACPFS_140955101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_140958000	ACPF_140958000	1409580_5GNB_SCHZ_ACPFP_140958000	gnb_cu_cp	v24_A_0	N/A	0	/1369360/1369361/1369362/1369363/1379406/1409550/1409580/	r_0120
ACPF_140958001	ACPF_140958001	1409580_5GNB_ELSS_ACPFS_140958001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ADPF_13693502002	ADPF_13693502002	GROW_CLEAN_LTE_13693502002_5GDU_HELOTES-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502040	ADPF_13693502040	GROW_CLEAN_LTE_13693502040_5GDU_COLISEUM-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502041	ADPF_13693502041	GROW_CLEAN_LTE_13693502041_5GDU_EASTSIDE_S_C-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502042	ADPF_13693502042	GROW_CLEAN_LTE_13693502042_5GDU_FAIR_AVENUE-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502043	ADPF_13693502043	GROW_CLEAN_LTE_13693502043_5GDU_K_BER-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502044	ADPF_13693502044	GROW_CLEAN_LTE_13693502044_5GDU_CPS_HIGHLAND_HILLS-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502051	ADPF_13693502051	GROW_CLEAN_LTE_13693502051_5GDU_CPS_FIVE_POINTS-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502054	ADPF_13693502054	GROW_CLEAN_LTE_13693502054_5GDU_COXCO-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502057	ADPF_13693502057	GROW_CLEAN_LTE_13693502057_5GDU_BROOKS-SA-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502060	ADPF_13693502060	GROW_CLEAN_LTE_13693502060_5GDU_GEO_REPL-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502086	ADPF_13693502086	GROW_CLEAN_LTE_13693502086_5GDU_MOURSAND-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502087	ADPF_13693502087	GROW_13693502087_5GDU_ST_HEDWIG-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502089	ADPF_13693502089	GROW_CLEAN_LTE_13693502089_5GDU_MASTERLUBE-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502090	ADPF_13693502090	GROW_13693502090_5GDU_ELMENDORF-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502091	ADPF_13693502091	GROW_CLEAN_LTE_13693502091_5GDU_BOLADO-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502092	ADPF_13693502092	GROW_CLEAN_LTE_13693502092_5GDU_HWY16_CPS_REPL-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502096	ADPF_13693502096	GROW_CLEAN_LTE_13693502096_5GDU_POTEET-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502097	ADPF_13693502097	GROW_CLEAN_LTE_13693502097_5GDU_PLEASANTON-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502098	ADPF_13693502098	GROW_CLEAN_LTE_13693502098_5GDU_FLORESVILLE-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502116	ADPF_13693502116	GROW_CLEAN_LTE_13693502116_5GDU_SAN_LUIS-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502117	ADPF_13693502117	GROW_CLEAN_LTE_13693502117_5GDU_BRAENDLE-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502118	ADPF_13693502118	GROW_CLEAN_LTE_13693502118_5GDU_FERN_COURT-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502119	ADPF_13693502119	GROW_CLEAN_LTE_13693502119_5GDU_FAIRCHILD_PARK-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502129	ADPF_13693502129	GROW_13693502129_5GDU_ROOSEVELT-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502138	ADPF_13693502138	GROW_CLEAN_LTE_13693502138_5GDU_BROADWAY-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502139	ADPF_13693502139	GROW_CLEAN_LTE_13693502139_5GDU_ROBERT_E_LEE-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502145	ADPF_13693502145	GROW_CLEAN_LTE_13693502145_5GDU_SA_CITY_HALL-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502169	ADPF_13693502169	GROW_CLEAN_LTE_13693502169_5GDU_THEATER_ROW-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502170	ADPF_13693502170	GROW_CLEAN_LTE_13693502170_5GDU_MAIN_PLAZA_MARKET-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502171	ADPF_13693502171	GROW_CLEAN_LTE_13693502171_5GDU_CPS_DOWNTOWN_REPL-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502173	ADPF_13693502173	GROW_CLEAN_LTE_13693502173_5GDU_PROBANDT-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502201	ADPF_13693502201	GROW_CLEAN_LTE_13693502201_5GDU_ROLAND-SCHZ	gnb_du_cnf	v23_B_0	N/A	0	/1369350/	r_0210
ADPF_13693502208	ADPF_13693502208	GROW_13693502208_5GDU_KARNES_CITY-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502220	ADPF_13693502220	GROW_CLEAN_LTE_13693502220_5GDU_MOGFORD-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502222	ADPF_13693502222	GROW_CLEAN_LTE_13693502222_5GDU_FLORESVILLE_DOWNTOWN-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502248	ADPF_13693502248	GROW_13693502248_5GDU_CACIAS_RD_STX-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502250	ADPF_13693502250	GROW_CLEAN_LTE_13693502250_5GDU_DONOP_RD_STX-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502252	ADPF_13693502252	GROW_CLEAN_LTE_13693502252_5GDU_ENCHANTEDOAK_STX-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502275	ADPF_13693502275	GROW_CLEAN_LTE_13693502275_5GDU_LOSOYA-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502283	ADPF_13693502283	GROW_CLEAN_LTE_13693502283_5GDU_TOYOTA_PLANT-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502285	ADPF_13693502285	GROW_CLEAN_LTE_13693502285_5GDU_PLEASANTON_SOUTH-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502297	ADPF_13693502297	GROW_CLEAN_LTE_13693502297_5GDU_YORKTOWN_SR119_STX-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502318	ADPF_13693502318	GROW_CLEAN_LTE_13693502318_5GDU_LA_VERNIA_DT-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502322	ADPF_13693502322	13693502322_5GDU_US87_LAVERNIA-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502408	ADPF_13693502408	GROW_CLEAN_LTE_13693502408_5GDU_PECAN_VALLEY-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502412	ADPF_13693502412	GROW_13693502412_5GDU_RIVERCENTER_MALL-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502503	ADPF_13693502503	GROW_CLEAN_LTE_13693502503_5GDU_CHINA_GROVE-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
ADPF_13693502510	ADPF_13693502510	GROW_CLEAN_LTE_13693502510_5GDU_PLEASANTON_DOWNTOWN-SCHZ	gnb_du_cnf	v24_A_0	N/A	0	/1369350/	r_0100
