NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_111935000	ACPF_111935000	1119350_5GNB_CHNT_ACPFP_111935000	gnb_cu_cp	v24_A_0	N/A	0	/1119350/1119351/1129400/	r_0120
ACPF_111935001	ACPF_111935001	1119350_5GNB_ANJT_ACPFS_111935001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_112040000	ACPF_112040000	1120400_5GNB_CHNT_ACPFP_112040000	gnb_cu_cp	v23_B_0	N/A	0	/1110350/1120400/	r_0200
ACPF_112040100	ACPF_112040100	1120401_5GNB_CHNT_ACPFP_112040100	gnb_cu_cp	v23_B_0	N/A	0	/1120401/1120403/1120404/	r_0200
ACPF_112940100	ACPF_112940100	1129401_5GNB_CHNT_ACPFP_112940100	gnb_cu_cp	v24_A_0	N/A	0	/1129401/1129402/1179652/1179654/	r_0120
ACPF_112940101	ACPF_112940101	1129401_5GNB_ANJT_ACPFS_112940101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_113045000	ACPF_113045000	1130450_5GNB_RCMD_ACPFP_113045000	gnb_cu_cp	v23_B_0	N/A	0	/1130450/1130454/	r_0200
ACPF_113045100	ACPF_113045100	1130451_5GNB_RCMD_ACPFP_113045100	gnb_cu_cp	v23_B_0	N/A	0	/1130451/1130455/	r_0200
ACPF_113045200	ACPF_113045200	1130452_5GNB_RCMD_ACPFP_113045200	gnb_cu_cp	v23_B_0	N/A	0	/1130452/1130457/1130458/	r_0200
ACPF_113045300	ACPF_113045300	1130453_5GNB_RCMD_ACPFP_113045300	gnb_cu_cp	v23_B_0	N/A	0	/1130453/1130466/	r_0200
ACPF_113045600	ACPF_113045600	1130456_5GNB_RCMD_ACPFP_113045600	gnb_cu_cp	v23_B_0	N/A	0	/1130456/	r_0200
ACPF_113045900	ACPF_113045900	1130459_5GNB_RCMD_ACPFP_113045900	gnb_cu_cp	v23_B_0	N/A	0	/1130459/1130463/	r_0200
ACPF_113046000	ACPF_113046000	1130460_5GNB_RCMD_ACPFP_113046000	gnb_cu_cp	v23_B_0	N/A	0	/1130460/1130464/	r_0200
ACPF_113046100	ACPF_113046100	1130461_5GNB_RCMD_ACPFP_113046100	gnb_cu_cp	v23_B_0	N/A	0	/1130461/1130465/	r_0200
ACPF_113945000	ACPF_113945000	1139450_5GNB_RCMD_ACPFP_113945000	gnb_cu_cp	v24_A_0	N/A	0	/1139450/1139456/	r_0120
ACPF_113945001	ACPF_113945001	1139450_5GNB_RONK_ACPFS_113945001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_113945100	ACPF_113945100	1139451_5GNB_RCMD_ACPFP_113945100	gnb_cu_cp	v24_A_0	N/A	0	/1139451/1139455/	r_0120
ACPF_113945101	ACPF_113945101	1139451_5GNB_RONK_ACPFS_113945101	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_113945200	ACPF_113945200	1139452_5GNB_RCMD_ACPFP_113945200	gnb_cu_cp	v24_A_0	N/A	0	/1139452/1149501/	r_0120
ACPF_113945201	ACPF_113945201	1139452_5GNB_RONK_ACPFS_113945201	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_113945300	ACPF_113945300	1139453_5GNB_RCMD_ACPFP_113945300	gnb_cu_cp	v24_A_0	N/A	0	/1139453/1149502/	r_0120
ACPF_113945301	ACPF_113945301	1139453_5GNB_RONK_ACPFS_113945301	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_113945400	ACPF_113945400	1139454_5GNB_RCMD_ACPFP_113945400	gnb_cu_cp	v24_A_0	N/A	0	/1139454/1149508/	r_0120
ACPF_113945401	ACPF_113945401	1139454_5GNB_RONK_ACPFS_113945401	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_113945700	ACPF_113945700	1139457_5GNB_RCMD_ACPFP_113945700	gnb_cu_cp	v24_A_0	N/A	0	/1139457/1139458/1139459/1139460/1149504/1149505/1149506/1149507/	r_0120
ACPF_113945701	ACPF_113945701	1139457_5GNB_RONK_ACPFS_113945701	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_114050000	ACPF_114050000	1140500_5GNB_RCMD_ACPFP_114050000	gnb_cu_cp	v23_B_0	N/A	0	/1140500/1140502/	r_0200
