NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_241028000	ACPF_241028000	2410280_5GNB_JHTW_ACPFP_241028000	gnb_cu_cp	v23_B_0	N/A	0	/2410280/	r_0200
ACPF_241928000	ACPF_241928000	2419280_5GNB_JHTW_ACPFP_241928000	gnb_cu_cp	v24_A_0	N/A	0	/2419280/2419281/2419284/2419285/2419288/	r_0120
ACPF_241928001	ACPF_241928001	2419280_5GNB_SFTP_ACPFS_241928001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_241929000	ACPF_241929000	2419290_5GNB_JHTW_ACPFP_241929000	gnb_cu_cp	v24_A_0	N/A	0	/2419282/2419283/2419290/	r_0120
ACPF_241929001	ACPF_241929001	2419290_5GNB_SFTP_ACPFS_241929001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_242020000	ACPF_242020000	2420200_5GNB_SFTP_ACPFP_242020000	gnb_cu_cp	v23_B_0	N/A	0	/2420200/2420201/2420203/2420205/2420206/	r_0200
ACPF_242021000	ACPF_242021000	2420210_5GNB_SFTP_ACPFP_242021000	gnb_cu_cp	v23_B_0	N/A	0	/2420210/2420211/2420212/2420213/2420214/	r_0200
ACPF_242022000	ACPF_242022000	2420220_5GNB_SFTP_ACPFP_242022000	gnb_cu_cp	v23_B_0	N/A	0	/2420220/2420221/2420222/	r_0200
ACPF_242023000	ACPF_242023000	2420230_5GNB_SFTP_ACPFP_242023000	gnb_cu_cp	v23_B_0	N/A	0	/2420230/2420231/2420232/2420233/2420234/2420235/	r_0200
ACPF_242024000	ACPF_242024000	2420240_5GNB_SFTP_ACPFP_242024000	gnb_cu_cp	v23_B_0	N/A	0	/2420202/2420204/2420240/	r_0200
ACPF_242040000	ACPF_242040000	2420400_5GNB_SFTP_ACPFP_242040000	gnb_cu_cp	v23_B_0	N/A	0	/2410406/2420400/2420403/2430407/	r_0200
ACPF_242923000	ACPF_242923000	2429230_5GNB_SFTP_ACPFP_242923000	gnb_cu_cp	v24_A_0	N/A	0	/2429230/	r_0120
ACPF_242923001	ACPF_242923001	2429230_5GNB_JHTW_ACPFS_242923001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_242924000	ACPF_242924000	2429240_5GNB_SFTP_ACPFP_242924000	gnb_cu_cp	v24_A_0	N/A	0	/2429240/2429255/2429257/	r_0120
ACPF_242924001	ACPF_242924001	2429240_5GNB_JHTW_ACPFS_242924001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_242925000	ACPF_242925000	2429250_5GNB_SFTP_ACPFP_242925000	gnb_cu_cp	v24_A_0	N/A	0	/2429250/2429254/	r_0120
ACPF_242925001	ACPF_242925001	2429250_5GNB_JHTW_ACPFS_242925001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_242926000	ACPF_242926000	2429260_5GNB_SFTP_ACPFP_242926000	gnb_cu_cp	v24_A_0	N/A	0	/2429251/2429252/2429253/2429256/2429260/	r_0120
ACPF_242926001	ACPF_242926001	2429260_5GNB_JHTW_ACPFS_242926001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_242940000	ACPF_242940000	2429400_5GNB_SFTP_ACPFP_242940000	gnb_cu_cp	v24_A_0	N/A	0	/2429400/	r_0120
ACPF_242940001	ACPF_242940001	2429400_5GNB_JHTW_ACPFS_242940001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_243025000	ACPF_243025000	2430250_5GNB_SFTP_ACPFP_243025000	gnb_cu_cp	v23_B_0	N/A	0	/2430250/2430251/2430252/2430253/2430254/	r_0200
ACPF_243920000	ACPF_243920000	2439200_5GNB_SFTP_ACPFP_243920000	gnb_cu_cp	v24_A_0	N/A	0	/2439200/2439202/2439204/2439206/	r_0120
ACPF_243920001	ACPF_243920001	2439200_5GNB_JHTW_ACPFS_243920001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_243921000	ACPF_243921000	2439210_5GNB_SFTP_ACPFP_243921000	gnb_cu_cp	v24_A_0	N/A	0	/2439201/2439203/2439210/	r_0120
ACPF_243921001	ACPF_243921001	2439210_5GNB_JHTW_ACPFS_243921001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_243922000	ACPF_243922000	2439220_5GNB_SFTP_ACPFP_243922000	gnb_cu_cp	v24_A_0	N/A	0	/2439205/2439207/2439220/	r_0120
ACPF_243922001	ACPF_243922001	2439220_5GNB_JHTW_ACPFS_243922001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ADPF_24192802014	ADPF_24192802014	GROW_CLEAN_LTE_24192802014_5GDU_MONROEVILLE_EAST-JHTW	gnb_du_cnf	v24_A_0	N/A	0	/2419280/	r_0100
ADPF_24192802018	ADPF_24192802018	GROW_CLEAN_LTE_24192802018_5GDU_WEHNWOOD-JHTW	gnb_du_cnf	v24_A_0	N/A	0	/2419280/	r_0100
ADPF_24192802101	ADPF_24192802101	GROW_24192802101_5GDU_ALTOONA_SOUTH-JHTW	gnb_du_cnf	v24_A_0	N/A	0	/2419280/	r_0100
ADPF_24192802104	ADPF_24192802104	GROW_CLEAN_LTE_24192802104_5GDU_UNIVERSITY_PARK-UNIVERSITY_PARK	gnb_du_cnf	v24_A_0	N/A	0	/2419280/	r_0100
