NE_UNIQUE_ID	NE_ID	NE_NAME	NE_TYPE	NE_VERSION	ENB_TYPE	CHANNEL_CARD	GNB_ID	REL_VERSION
ACPF_157000100	ACPF_157000100	1570001_5GNB_CHRX_ACPFP_157000100	gnb_cu_cp	v23_B_0	N/A	0	/1570001/	r_0200
ACPF_162000100	ACPF_162000100	1620001_5GNB_WHCK_ACPFP_162000100	gnb_cu_cp	v23_B_0	N/A	0	/1620001/	r_0200
ACPF_168005400	ACPF_168005400	1680054_5GNB_BRHO_ACPFP_168005400	gnb_cu_cp	v23_B_0	N/A	0	/1680054/	r_0200
ACPF_172000100	ACPF_172000100	1720001_5GNB_ALPR_ACPFP_172000100	gnb_cu_cp	v24_A_0	N/A	0	/1700202/1720001/1730907/1740300/	r_0200
ACPF_244030000	ACPF_244030000	2440300_5GNB_CLMB_ACPFP_244030000	gnb_cu_cp	v23_B_0	N/A	0	/2440300/2440350/	r_0200
ACPF_244030100	ACPF_244030100	2440301_5GNB_CLMB_ACPFP_244030100	gnb_cu_cp	v24_A_0	N/A	0	/2440301/2440351/	r_0200
ACPF_244030200	ACPF_244030200	2440302_5GNB_CLMB_ACPFP_244030200	gnb_cu_cp	v24_A_0	N/A	0	/2440302/2440352/	r_0200
ACPF_244030300	ACPF_244030300	2440303_5GNB_CLMB_ACPFP_244030300	gnb_cu_cp	v23_B_0	N/A	0	/2440303/2440353/	r_0200
ACPF_244030400	ACPF_244030400	2440304_5GNB_CLMB_ACPFP_244030400	gnb_cu_cp	v23_B_0	N/A	0	/2440304/2440354/	r_0200
ACPF_244030500	ACPF_244030500	2440305_5GNB_CLMB_ACPFP_244030500	gnb_cu_cp	v23_B_0	N/A	0	/2440305/2440355/	r_0200
ACPF_244030600	ACPF_244030600	2440306_5GNB_CLMB_ACPFP_244030600	gnb_cu_cp	v23_B_0	N/A	0	/2440306/2440356/	r_0200
ACPF_244030700	ACPF_244030700	2440307_5GNB_CLMB_ACPFP_244030700	gnb_cu_cp	v23_B_0	N/A	0	/2440307/2440357/	r_0200
ACPF_244030800	ACPF_244030800	2440308_5GNB_CLMB_ACPFP_244030800	gnb_cu_cp	v23_B_0	N/A	0	/2440308/2440358/	r_0200
ACPF_244030900	ACPF_244030900	2440309_5GNB_CLMB_ACPFP_244030900	gnb_cu_cp	v23_B_0	N/A	0	/2440309/2440359/	r_0200
ACPF_244037000	ACPF_244037000	2440370_5GNB_CLMB_ACPFP_244037000	gnb_cu_cp	v23_B_0	N/A	0	/2440370/2460470/2530135/	r_0200
ACPF_244039900	ACPF_244039900	2440399_5GNB_CLMB_ACPFP_244039900	gnb_cu_cp	v24_A_0	N/A	0	/2440398/2440399/	r_0200
ACPF_244932000	ACPF_244932000	2449320_5GNB_CLMB_ACPFP_244932000	gnb_cu_cp	v24_A_0	N/A	0	/2449320/2479410/2479411/2479412/	r_0120
ACPF_244932001	ACPF_244932001	2449320_5GNB_CNCQ_ACPFS_244932001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_244935000	ACPF_244935000	2449350_5GNB_CLMB_ACPFP_244935000	gnb_cu_cp	v24_A_0	N/A	0	/2449350/2449351/2449352/2449353/2449354/2449355/2449356/2449357/	r_0120
ACPF_244935001	ACPF_244935001	2449350_5GNB_CNCQ_ACPFS_244935001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_244937000	ACPF_244937000	2449370_5GNB_CLMB_ACPFP_244937000	gnb_cu_cp	v24_A_0	N/A	0	/2449370/2469470/2539135/	r_0120
ACPF_244937001	ACPF_244937001	2449370_5GNB_CNCQ_ACPFS_244937001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_245930000	ACPF_245930000	2459300_5GNB_CLMB_ACPFP_245930000	gnb_cu_cp	v24_A_0	N/A	0	/2449360/2449361/2449362/2459300/2459301/2459302/2459303/2459304/	r_0120
ACPF_245930001	ACPF_245930001	2459300_5GNB_CNCQ_ACPFS_245930001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_245931000	ACPF_245931000	2459310_5GNB_CLMB_ACPFP_245931000	gnb_cu_cp	v24_A_0	N/A	0	/2459310/2459311/2459312/2459313/2549600/2549601/2549602/	r_0120
ACPF_245931001	ACPF_245931001	2459310_5GNB_CNCQ_ACPFS_245931001	gnb_cu_cp	v24_A_0	N/A	0	N/A	r_0120
ACPF_246040000	ACPF_246040000	2460400_5GNB_CLMB_ACPFP_246040000	gnb_cu_cp	v23_B_0	N/A	0	/2460400/2460450/	r_0200
ACPF_246040100	ACPF_246040100	2460401_5GNB_CLMB_ACPFP_246040100	gnb_cu_cp	v23_B_0	N/A	0	/2460401/2460451/	r_0200
ACPF_246040200	ACPF_246040200	2460402_5GNB_CLMB_ACPFP_246040200	gnb_cu_cp	v23_B_0	N/A	0	/2460402/2460452/	r_0200
ACPF_246040300	ACPF_246040300	2460403_5GNB_CLMB_ACPFP_246040300	gnb_cu_cp	v23_B_0	N/A	0	/2460403/2460453/	r_0200
