DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,1,5230,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,2,2050,0,35.38,0,35.38
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,4,1100,0,55.55,0,55.55
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,1,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,2,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,3,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,4,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,1,5230,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,2,2050,0,49.8,0,49.8
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,4,1100,0,45.16,0,45.16
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,1,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,2,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,3,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,4,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,1,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,2,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,3,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,4,null,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,1,5230,900,0,900,0
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,2,2050,0,46,0,46
12/13/2022,14,15,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,4,1100,0,113.72,0,113.72
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,1,5230,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,2,2050,0,43.78,0,43.78
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,4,1100,0,61.88,0,61.88
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,1,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,2,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,3,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,4,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,1,5230,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,2,2050,0,59.24,0,59.24
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,4,1100,0,47.68,0,47.68
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,1,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,2,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,3,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,4,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,1,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,2,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,3,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,4,null,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,1,5230,900,0,900,0
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,2,2050,0,54.47,0,54.47
12/13/2022,14,30,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,4,1100,0,107.62,0,107.62
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,1,5230,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,2,2050,0,53.1,0,53.1
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,4,1100,0,77.73,0,77.73
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,1,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,2,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,3,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,4,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,1,5230,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,2,2050,0,66.93,0,66.93
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,4,1100,0,51.87,0,51.87
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,1,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,2,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,3,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,4,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,1,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,2,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,3,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,21,4,null,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,1,5230,900,0,900,0
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,2,2050,0,53.12,0,53.12
12/13/2022,14,45,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,3,4,1100,0,114.93,0,114.93
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,1,5230,900,0,900,0
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,2,2050,0,51.28,0,51.28
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,1,4,1100,0,71.56,0,71.56
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,1,null,900,0,900,0
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,2,null,900,0,900,0
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,3,null,900,0,900,0
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,19,4,null,900,0,900,0
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,1,5230,900,0,900,0
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,2,2050,0,99.77,0,99.77
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,2,4,1100,0,85.79,0,85.79
12/13/2022,15,00,New York Metro,Philadelphia Tri-State,091,Central - Wayne 1,BerkelyHeights2,091218,20,1,null,900,0,900,0
